tagid,W4S1_Date
TAG001,1/11/21
TAG002,1/7/21
TAG003,10/18/21
TAG005,10/6/21
TAG007,10/15/21
TAG008,1/8/21
TAG009,11/11/21
TAG010,5/1/21
TAG011,9/25/21
TAG016,2/12/21
TAG019,1/12/21
TAG020,1/20/21
TAG022,4/12/21
TAG026,1/13/21
TAG030,4/6/21
TAG032,8/13/21
TAG033,2/8/21
TAG034,2/10/21
TAG037,2/4/21
TAG040,11/4/21
TAG041,6/11/21
TAG042,9/26/21
TAG044,6/24/21
TAG047,9/24/21
TAG049,6/16/21
TAG050,3/4/21
TAG052,9/9/21
TAG057,1/19/21
TAG058,6/8/21
TAG060,6/9/21
TAG062,6/15/21
TAG065,8/18/21
TAG069,2/23/21
TAG084,8/25/21
TAG085,8/31/21
TAG086,8/10/21
TAG088,11/4/21
TAG089,7/19/21
TAG090,8/19/21
TAG093,6/14/21
TAG094,7/14/21
TAG104,10/5/21
TAG105,9/11/21
TAG130,11/3/21
TAG131,4/14/21
TAG138,10/23/21
TAG140,9/16/21
TAG141,8/9/21
TAG149,9/8/21
TAG159,8/24/21
TAG160,8/23/21
TAG169,11/3/21
TAG209,5/18/21
TAG211,9/7/21
