"","TAGID","wave","DOB","session_date","age"
"1","TAG001","wave_1_scheduling_arm_1","10/2/03","1/13/16",12
"2","TAG001","wave_2_scheduling_arm_1","10/2/03","7/22/17",13
"3","TAG001","wave_3_scheduling_arm_1","10/2/03","1/17/19",15
"4","TAG001","wave_4_scheduling_arm_1","10/2/03","1/11/21",17
"5","TAG002","wave_1_scheduling_arm_1","3/16/04","1/8/16",11
"6","TAG002","wave_2_scheduling_arm_1","3/16/04","7/27/17",13
"7","TAG002","sos_arm_1","3/16/04","3/7/20",15
"8","TAG002","wave_3_scheduling_arm_1","3/16/04","1/2/19",14
"9","TAG002","wave_4_scheduling_arm_1","3/16/04","1/7/21",16
"10","TAG003","wave_1_scheduling_arm_1","1/26/04","8/15/16",12
"11","TAG003","wave_2_scheduling_arm_1","1/26/04","3/5/18",14
"12","TAG003","sos_arm_1","1/26/04","2/3/19",15
"13","TAG003","wave_3_scheduling_arm_1","1/26/04","8/28/19",15
"14","TAG004","wave_1_scheduling_arm_1","11/10/03","1/12/16",12
"15","TAG004","wave_2_scheduling_arm_1","11/10/03","7/12/17",13
"16","TAG004","wave_3_scheduling_arm_1","11/10/03","1/7/19",15
"17","TAG005","wave_1_scheduling_arm_1","1/6/06","10/14/16",10
"18","TAG005","wave_2_scheduling_arm_1","1/6/06","4/16/18",12
"19","TAG005","sos_arm_1","1/6/06","4/5/20",14
"20","TAG005","wave_3_scheduling_arm_1","1/6/06","9/30/19",13
"21","TAG006","wave_1_scheduling_arm_1","7/3/04","6/14/16",11
"22","TAG007","wave_1_scheduling_arm_1","11/21/03","6/22/16",12
"23","TAG007","wave_2_scheduling_arm_1","11/21/03","1/16/18",14
"24","TAG007","sos_arm_1","11/21/03","11/3/18",14
"25","TAG007","wave_3_scheduling_arm_1","11/21/03","7/24/19",15
"26","TAG008","wave_1_scheduling_arm_1","2/12/04","1/18/16",11
"27","TAG008","wave_2_scheduling_arm_1","2/12/04","7/25/17",13
"28","TAG008","wave_3_scheduling_arm_1","2/12/04","1/12/19",14
"29","TAG008","wave_4_scheduling_arm_1","2/12/04","1/8/21",16
"30","TAG009","wave_1_scheduling_arm_1","","9/30/16",12
"31","TAG009","wave_2_scheduling_arm_1","","4/27/18",14
"32","TAG009","sos_arm_1","","4/4/20",16
"33","TAG009","wave_3_scheduling_arm_1","","10/16/19",15
"34","TAG010","wave_1_scheduling_arm_1","","7/23/16",11
"35","TAG010","wave_2_scheduling_arm_1","","2/17/18",13
"36","TAG010","wave_3_scheduling_arm_1","","8/10/19",14
"37","TAG011","wave_1_scheduling_arm_1","","7/14/16",12
"38","TAG011","wave_2_scheduling_arm_1","","3/9/18",14
"39","TAG011","wave_3_scheduling_arm_1","","9/4/19",15
"40","TAG012","wave_1_scheduling_arm_1","","2/25/17",12
"41","TAG013","wave_1_scheduling_arm_1","","2/15/16",11
"42","TAG014","wave_1_scheduling_arm_1","","12/10/16",12
"43","TAG014","wave_2_scheduling_arm_1","","7/9/18",13
"44","TAG014","wave_3_scheduling_arm_1","","12/17/19",15
"45","TAG015","wave_1_scheduling_arm_1","","4/24/16",10
"46","TAG015","wave_2_scheduling_arm_1","","3/29/18",11
"47","TAG015","wave_3_scheduling_arm_1","","11/30/19",13
"48","TAG016","wave_1_scheduling_arm_1","","2/20/16",12
"49","TAG016","wave_2_scheduling_arm_1","","9/21/17",14
"50","TAG016","wave_3_scheduling_arm_1","","3/21/19",15
"51","TAG016","wave_4_scheduling_arm_1","","2/12/21",17
"52","TAG017","wave_1_scheduling_arm_1","","12/3/16",11
"53","TAG017","wave_2_scheduling_arm_1","","7/30/18",13
"54","TAG017","sos_arm_1","","5/19/19",13
"55","TAG017","wave_3_scheduling_arm_1","","2/16/20",14
"56","TAG018","wave_1_scheduling_arm_1","","1/15/16",12
"57","TAG018","wave_2_scheduling_arm_1","","10/18/17",13
"58","TAG018","wave_3_scheduling_arm_1","","7/31/19",15
"59","TAG019","wave_1_scheduling_arm_1","","1/22/16",12
"60","TAG019","wave_2_scheduling_arm_1","","9/11/17",14
"61","TAG019","sos_arm_1","","12/1/18",15
"62","TAG019","wave_3_scheduling_arm_1","","4/12/19",15
"63","TAG019","wave_4_scheduling_arm_1","","1/12/21",17
"64","TAG020","wave_1_scheduling_arm_1","","1/21/16",11
"65","TAG020","wave_2_scheduling_arm_1","","8/22/17",13
"66","TAG020","sos_arm_1","","11/18/18",14
"67","TAG020","wave_3_scheduling_arm_1","","3/1/19",14
"68","TAG020","wave_4_scheduling_arm_1","","1/20/21",16
"69","TAG022","wave_1_scheduling_arm_1","","1/28/16",11
"70","TAG022","wave_2_scheduling_arm_1","","8/22/17",13
"71","TAG022","wave_3_scheduling_arm_1","","2/18/19",15
"72","TAG060","wave_1_scheduling_arm_1","","3/12/16",10
"73","TAG060","wave_2_scheduling_arm_1","","10/7/17",12
"74","TAG060","sos_arm_1","","1/3/19",13
"75","TAG060","wave_3_scheduling_arm_1","","4/11/19",13
"76","TAG071","wave_1_scheduling_arm_1","","8/15/16",11
"77","TAG071","wave_2_scheduling_arm_1","","2/26/18",12
"78","TAG071","wave_3_scheduling_arm_1","","8/23/19",14
"79","TAG094","wave_1_scheduling_arm_1","","5/21/16",11
"80","TAG094","wave_2_scheduling_arm_1","","11/20/17",12
"81","TAG094","wave_3_scheduling_arm_1","","5/21/19",14
"82","TAG_001P","wave_1_scheduling_arm_1","","12/15/15",13
"83","TAG_023","wave_1_scheduling_arm_1","","12/14/15",11
"84","TAG_023","wave_2_scheduling_arm_1","","10/9/17",13
"85","TAG_024","wave_1_scheduling_arm_1","","6/27/17",10
"86","TAG_024","wave_2_scheduling_arm_1","","11/8/18",12
"87","TAG_024","sos_arm_1","","7/23/19",13
"88","TAG_024","wave_3_scheduling_arm_1","","1/26/21",14
"89","TAG_025","wave_1_scheduling_arm_1","","1/25/16",11
"90","TAG_026","wave_1_scheduling_arm_1","","2/5/16",12
"91","TAG_026","wave_2_scheduling_arm_1","","8/1/17",13
"92","TAG_026","wave_3_scheduling_arm_1","","1/4/19",15
"93","TAG_026","wave_4_scheduling_arm_1","","1/13/21",17
"94","TAG_027","wave_1_scheduling_arm_1","","6/27/16",12
"95","TAG_027","wave_2_scheduling_arm_1","","1/11/18",14
"96","TAG_027","sos_arm_1","","1/20/19",15
"97","TAG_027","wave_3_scheduling_arm_1","","7/10/19",15
"98","TAG_028","wave_1_scheduling_arm_1","","1/18/16",11
"99","TAG_028","wave_2_scheduling_arm_1","","1/23/18",13
"100","TAG_028","wave_3_scheduling_arm_1","","8/22/19",15
"101","TAG_029","wave_1_scheduling_arm_1","","12/3/16",11
"102","TAG_029","wave_2_scheduling_arm_1","","",NA
"103","TAG_030","wave_1_scheduling_arm_1","","1/29/16",10
"104","TAG_030","wave_2_scheduling_arm_1","","7/19/17",12
"105","TAG_030","sos_arm_1","","10/6/18",13
"106","TAG_030","wave_3_scheduling_arm_1","","2/18/19",13
"107","TAG_032","wave_1_scheduling_arm_1","","1/23/16",12
"108","TAG_032","wave_2_scheduling_arm_1","","1/19/18",14
"109","TAG_032","sos_arm_1","","2/10/19",15
"110","TAG_032","wave_3_scheduling_arm_1","","8/2/19",15
"111","TAG_033","wave_1_scheduling_arm_1","","2/6/16",12
"112","TAG_033","wave_2_scheduling_arm_1","","8/14/17",13
"113","TAG_033","sos_arm_1","","4/11/20",16
"114","TAG_033","wave_3_scheduling_arm_1","","3/26/19",15
"115","TAG_033","wave_4_scheduling_arm_1","","2/8/21",17
"116","TAG_034","wave_1_scheduling_arm_1","","2/26/16",11
"117","TAG_034","wave_2_scheduling_arm_1","","9/12/17",13
"118","TAG_034","sos_arm_1","","11/10/18",14
"119","TAG_034","wave_3_scheduling_arm_1","","3/14/19",14
"120","TAG_034","wave_4_scheduling_arm_1","","2/10/21",16
"121","TAG_035","wave_1_scheduling_arm_1","","1/29/16",12
"122","TAG_035","wave_2_scheduling_arm_1","","8/4/17",13
"123","TAG_035","wave_3_scheduling_arm_1","","1/31/19",15
"124","TAG_036","wave_1_scheduling_arm_1","","3/23/16",12
"125","TAG_036","wave_2_scheduling_arm_1","","1/22/18",14
"126","TAG_036","wave_3_scheduling_arm_1","","7/23/19",15
"127","TAG_037","wave_1_scheduling_arm_1","","2/5/16",11
"128","TAG_037","wave_2_scheduling_arm_1","","9/19/17",13
"129","TAG_037","sos_arm_1","","3/22/20",15
"130","TAG_037","wave_3_scheduling_arm_1","","3/28/19",14
"131","TAG_037","wave_4_scheduling_arm_1","","2/4/21",16
"132","TAG_038","wave_1_scheduling_arm_1","","7/26/16",10
"133","TAG_038","wave_2_scheduling_arm_1","","3/2/18",11
"134","TAG_038","sos_arm_1","","9/30/18",12
"135","TAG_038","wave_3_scheduling_arm_1","","8/8/19",13
"136","TAG_040","wave_1_scheduling_arm_1","","9/14/16",11
"137","TAG_040","wave_2_scheduling_arm_1","","3/26/18",12
"138","TAG_040","sos_arm_1","","2/16/19",13
"139","TAG_040","wave_3_scheduling_arm_1","","9/25/19",14
"140","TAG_041","wave_1_scheduling_arm_1","","4/6/16",12
"141","TAG_041","wave_2_scheduling_arm_1","","11/13/17",13
"142","TAG_041","sos_arm_1","","2/15/20",15
"143","TAG_041","wave_3_scheduling_arm_1","","5/13/19",15
"144","TAG_042","wave_1_scheduling_arm_1","","3/21/16",12
"145","TAG_042","wave_2_scheduling_arm_1","","1/22/18",14
"146","TAG_042","wave_3_scheduling_arm_1","","7/30/19",15
"147","TAG_044","wave_1_scheduling_arm_1","","3/12/16",11
"148","TAG_044","wave_2_scheduling_arm_1","","10/10/17",12
"149","TAG_044","wave_3_scheduling_arm_1","","4/17/19",14
"150","TAG_045","wave_1_scheduling_arm_1","","2/28/16",10
"151","TAG_045","wave_2_scheduling_arm_1","","11/10/17",12
"152","TAG_045","sos_arm_1","","2/2/19",13
"153","TAG_045","wave_3_scheduling_arm_1","","7/16/19",14
"154","TAG_046","wave_1_scheduling_arm_1","","8/31/16",10
