"","tagid","survey_name","SPPA_1","SPPA_10","SPPA_11","SPPA_12","SPPA_13","SPPA_14","SPPA_15","SPPA_16","SPPA_17","SPPA_18","SPPA_19","SPPA_2","SPPA_20","SPPA_21","SPPA_22","SPPA_23","SPPA_24","SPPA_25","SPPA_26","SPPA_27","SPPA_28","SPPA_29","SPPA_3","SPPA_30","SPPA_31","SPPA_32","SPPA_33","SPPA_34","SPPA_35","SPPA_36","SPPA_37","SPPA_38","SPPA_39","SPPA_4","SPPA_40","SPPA_41","SPPA_42","SPPA_43","SPPA_44","SPPA_45","SPPA_46","SPPA_47","SPPA_48","SPPA_49","SPPA_5","SPPA_50","SPPA_51","SPPA_52","SPPA_53","SPPA_54","SPPA_55","SPPA_56","SPPA_57","SPPA_58","SPPA_59","SPPA_6","SPPA_60","SPPA_61","SPPA_62","SPPA_63","SPPA_64","SPPA_65","SPPA_66","SPPA_67","SPPA_68","SPPA_69","SPPA_7","SPPA_70","SPPA_71","SPPA_8","SPPA_9","SPPA_RA_72","SPPA_RA_73","SPPA_RA_74","SPPA_RA_75","SPPA_RA_76","SPPA_RA_77","SPPA_RA_78","SPPA_RA_79","SPPA_RA_80","survey_type","survey_date","ha1","ha2","ha3","ha4","ha6","ha7","ha8","ha9","ha10","ha11","ha12","ha13","ha15","ha16","ha17","ha18","ha19","ha20","ha21","ha22","ha24","ha25","ha26","ha27","ha28","ha29","ha30","ha31","ha33","ha34","ha35","ha36","ha37","ha38","ha39","ha40","ha42","ha43","ha44","ha45","SPPA_scholasticcomp_total","SPPA_socialcomp_total","SPPA_athleticcomp_total","SPPA_physicalappear_total","SPPA_romanticappeal_total","SPPA_behavconduct_total","SPPA_closefriend_total","SPPA_globalselfworth_total","SPPA_scholasticcomp_mean","SPPA_socialcomp_mean","SPPA_athleticcomp_mean","SPPA_physicalappear_mean","SPPA_romanticappeal_mean","SPPA_behavconduct_mean","SPPA_closefriend_mean","SPPA_globalselfworth_mean","SPPA_scholasticcomp_N","SPPA_scholasticcomp_missing","SPPA_scholasticcomp_missing_perc","SPPA_socialcomp_N","SPPA_socialcomp_missing","SPPA_socialcomp_missing_perc","SPPA_athleticcomp_N","SPPA_athleticcomp_missing","SPPA_athleticcomp_missing_perc","SPPA_physicalappear_N","SPPA_physicalappear_missing","SPPA_physicalappear_missing_perc","SPPA_romanticappeal_N","SPPA_romanticappeal_missing","SPPA_romanticappeal_missing_perc","SPPA_behavconduct_N","SPPA_behavconduct_missing","SPPA_behavconduct_missing_perc","SPPA_closefriend_N","SPPA_closefriend_missing","SPPA_closefriend_missing_perc","SPPA_globalselfworth_N","SPPA_globalselfworth_missing","SPPA_globalselfworth_missing_perc"
"1","TAG001","W3 Home Qs - V1",1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,2,2,2,2,2,2,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,2,1,1,2,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Home","2019-02-16",3,2,3,3,NA,3,3,2,4,3,3,3,NA,4,4,4,4,3,3,3,NA,3,3,3,4,3,3,3,NA,3,2,3,4,2,3,3,NA,3,3,3,19,13,15,15,NA,16,15,15,3.8,2.6,3,3,NA,3.2,3,3,5,0,0,5,0,0,5,0,0,5,0,0,5,5,100,5,0,0,5,0,0,5,0,0
"2","TAG002","W3 Home Qs - V1",1,2,1,2,2,1,2,2,1,1,1,1,1,2,1,2,2,2,2,2,1,1,1,2,1,1,2,1,2,1,2,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,2,1,1,1,1,2,2,1,2,2,1,1,1,2,2,2,1,2,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Home","2019-01-08",3,1,4,3,NA,4,4,3,4,3,3,3,NA,4,4,3,4,2,2,3,NA,2,3,3,2,3,4,3,NA,3,1,3,3,2,4,3,NA,4,4,3,16,11,17,15,NA,17,16,15,3.2,2.2,3.4,3,NA,3.4,3.2,3,5,0,0,5,0,0,5,0,0,5,0,0,5,5,100,5,0,0,5,0,0,5,0,0
"3","TAG003","W3 Home Qs - V3",2,2,2,1,1,2,2,2,1,2,2,1,1,1,2,1,1,2,2,2,1,1,2,1,2,2,2,1,1,1,2,1,1,1,1,2,2,2,1,1,2,2,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,2,1,2,3,2,2,1,1,2,2,4,2,"Home","2019-10-04",2,3,3,2,1,1,2,1,4,4,2,1,4,2,4,3,3,4,2,2,3,2,3,1,3,4,3,3,2,1,3,2,3,3,2,2,4,3,3,2,15,18,12,10,14,9,15,9,3,3.6,2.4,2,2.8,1.8,3,1.8,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0
"4","TAG005","W3 Home Qs - V3",1,1,2,1,1,1,1,1,2,1,1,1,1,2,2,2,1,2,1,2,1,1,1,2,1,2,2,1,2,1,1,1,2,2,1,1,1,2,2,2,1,2,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,1,2,1,1,2,2,1,2,"Home","2019-10-28",3,1,2,3,2,2,2,2,2,2,3,4,1,3,3,3,4,1,2,3,3,3,2,3,4,2,3,3,2,3,2,3,3,1,2,3,1,3,2,3,16,7,12,16,9,14,11,14,3.2,1.4,2.4,3.2,1.8,2.8,2.2,2.8,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0
"5","TAG007","W3 Home Qs - V3",2,2,1,2,1,1,2,2,1,2,2,1,2,1,1,2,2,2,2,1,1,1,2,2,2,2,2,2,1,1,2,1,1,2,2,1,2,1,1,1,2,2,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,2,2,1,1,2,2,2,1,1,1,2,1,1,3,2,2,2,1,2,3,4,1,"Home","2019-07-27",2,4,3,2,1,4,4,2,4,4,1,2,4,4,4,2,4,4,1,2,2,2,4,4,2,4,3,3,1,3,4,3,3,3,1,2,3,4,4,3,15,19,9,11,11,17,20,14,3,3.8,1.8,2.2,2.2,3.4,4,2.8,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0
"6","TAG008","W3 Home Qs - V1",2,1,2,2,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,2,1,2,2,2,2,1,1,2,2,2,2,1,2,1,1,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,1,2,2,1,2,1,2,2,1,1,1,2,2,2,1,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Home","2019-02-07",2,4,4,4,NA,2,1,2,3,4,3,1,NA,2,2,3,3,4,1,2,NA,1,2,2,1,2,4,1,NA,3,3,1,2,2,3,1,NA,3,1,2,11,16,15,9,NA,11,9,10,2.2,3.2,3,1.8,NA,2.2,1.8,2,5,0,0,5,0,0,5,0,0,5,0,0,5,5,100,5,0,0,5,0,0,5,0,0
"7","TAG009","W3 Home Qs - Current V4",2,2,2,2,1,2,1,2,2,2,2,1,2,1,1,1,1,1,2,2,2,1,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,2,2,2,1,2,2,2,1,1,2,1,2,1,2,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,3,2,1,2,2,1,2,1,2,"Home","2019-11-08",2,1,1,2,1,4,1,1,1,1,1,2,3,2,1,4,3,1,1,3,1,3,1,2,1,1,1,2,3,1,1,4,3,2,1,2,1,3,2,3,10,6,5,11,9,13,6,14,2,1.2,1,2.2,1.8,2.6,1.2,2.8,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0
"8","TAG010","W3 - Home Qs - V2 IN LAB",1,2,1,2,1,1,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,1,2,1,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Home","2019-08-13",3,4,2,3,NA,4,4,2,3,2,1,4,NA,4,4,4,2,3,2,4,NA,4,4,3,2,3,2,2,NA,2,3,4,3,3,2,3,NA,3,4,4,13,15,9,16,NA,17,19,17,2.6,3,1.8,3.2,NA,3.4,3.8,3.4,5,0,0,5,0,0,5,0,0,5,0,0,5,5,100,5,0,0,5,0,0,5,0,0
"9","TAG018","W3 Home Qs - V3",2,2,2,2,2,1,2,2,1,1,2,1,1,1,2,2,2,2,1,2,2,1,1,1,2,2,2,1,1,2,1,1,2,1,1,2,1,1,1,1,1,2,2,2,1,2,2,2,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,2,2,2,1,2,2,4,2,"Home","2019-08-27",2,2,4,1,1,1,1,3,4,3,2,1,4,4,3,4,3,4,2,1,2,3,2,2,2,3,4,1,2,4,1,3,3,1,4,1,4,1,4,1,14,13,16,5,13,13,11,13,2.8,2.6,3.2,1,2.6,2.6,2.2,2.6,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0,5,0,0
"10","TAG019","W3 Home Qs - V1",1,2,1,1,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,2,2,2,1,2,2,1,1,1,1,1,1,2,1,1,2,1,2,2,2,2,1,1,1,1,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Home","2019-04-15",3,1,2,2,NA,4,3,1,1,1,3,2,NA,2,2,3,2,2,3,2,NA,2,3,2,2,1,3,2,NA,2,2,4,3,1,4,2,NA,3,2,3,11,6,15,10,NA,13,12,13,2.2,1.2,3,2,NA,2.6,2.4,2.6,5,0,0,5,0,0,5,0,0,5,0,0,5,5,100,5,0,0,5,0,0,5,0,0
