tagid,wave,transition
TAG_001,W1,0
TAG_002,W1,0
TAG_003,W1,2
TAG_004,W1,0
TAG_005,W1,2
TAG_007,W1,0
TAG_008,W1,0
TAG_009,W1,2
TAG_010,W1,2
TAG_011,W1,0
TAG_014,W1,0
TAG_015,W1,2
TAG_016,W1,0
TAG_017,W1,0
TAG_018,W1,0
TAG_019,W1,0
TAG_020,W1,0
TAG_022,W1,0
TAG_023,W1,0
TAG_024,W1,2
TAG_026,W1,0
TAG_027,W1,0
TAG_028,W1,0
TAG_030,W1,2
TAG_032,W1,0
TAG_033,W1,0
TAG_034,W1,0
TAG_035,W1,0
TAG_036,W1,0
TAG_037,W1,0
TAG_038,W1,2
TAG_039,W1,0
TAG_040,W1,0
TAG_041,W1,0
TAG_042,W1,0
TAG_044,W1,0
TAG_045,W1,2
TAG_046,W1,2
TAG_047,W1,2
TAG_048,W1,2
TAG_049,W1,2
TAG_050,W1,0
TAG_051,W1,0
TAG_052,W1,2
TAG_053,W1,0
TAG_054,W1,2
TAG_055,W1,2
TAG_056,W1,0
TAG_057,W1,0
TAG_058,W1,0
TAG_059,W1,0
TAG_060,W1,2
TAG_062,W1,2
TAG_064,W1,2
TAG_065,W1,2
TAG_066,W1,2
TAG_067,W1,0
TAG_068,W1,0
TAG_069,W1,0
TAG_070,W1,0
TAG_071,W1,2
TAG_072,W1,0
TAG_073,W1,2
TAG_074,W1,2
TAG_075,W1,0
TAG_076,W1,0
TAG_077,W1,2
TAG_078,W1,0
TAG_079,W1,2
TAG_080,W1,0
TAG_081,W1,2
TAG_084,W1,2
TAG_085,W1,0
TAG_086,W1,2
TAG_087,W1,2
TAG_088,W1,0
TAG_089,W1,2
TAG_090,W1,2
TAG_091,W1,0
TAG_093,W1,2
TAG_094,W1,2
TAG_095,W1,2
TAG_098,W1,0
TAG_099,W1,2
TAG_100,W1,2
TAG_101,W1,0
TAG_102,W1,2
TAG_103,W1,0
TAG_104,W1,2
TAG_105,W1,0
TAG_106,W1,2
TAG_107,W1,0
TAG_110,W1,2
TAG_111,W1,0
TAG_112,W1,0
TAG_113,W1,0
TAG_114,W1,0
TAG_116,W1,2
TAG_117,W1,0
TAG_119,W1,0
TAG_120,W1,0
TAG_122,W1,2
TAG_124,W1,2
TAG_125,W1,2
TAG_127,W1,2
TAG_130,W1,2
TAG_131,W1,0
TAG_132,W1,0
TAG_138,W1,0
TAG_140,W1,2
TAG_141,W1,0
TAG_143,W1,0
TAG_144,W1,2
TAG_147,W1,2
TAG_149,W1,0
TAG_152,W1,2
TAG_155,W1,0
TAG_159,W1,0
TAG_160,W1,0
TAG_164,W1,0
TAG_166,W1,0
TAG_167,W1,2
TAG_169,W1,2
TAG_173,W1,2
TAG_174,W1,2
TAG_175,W1,2
TAG_176,W1,0
TAG_177,W1,2
TAG_179,W1,2
TAG_180,W1,2
TAG_181,W1,0
TAG_186,W1,0
TAG_188,W1,2
TAG_190,W1,2
TAG_192,W1,0
TAG_194,W1,0
TAG_200,W1,2
TAG_202,W1,0
TAG_203,W1,2
TAG_205,W1,0
TAG_206,W1,2
TAG_207,W1,0
TAG_208,W1,0
TAG_209,W1,0
TAG_210,W1,0
TAG_211,W1,0
TAG_215,W1,2
TAG_218,W1,2
TAG_220,W1,2
TAG_221,W1,2
TAG_223,W1,2
TAG_224,W1,2
TAG_225,W1,2
TAG_232,W1,2
TAG_238,W1,2
TAG_243,W1,2
TAG_244,W1,2
TAG_247,W1,2
TAG_250,W1,2
TAG_252,W1,2
TAG_253,W1,2
TAG_257,W1,2
TAG_261,W1,2
TAG_266,W1,2
TAG_001,W2,2
TAG_002,W2,2
TAG_003,W2,1
TAG_004,W2,2
TAG_005,W2,0
TAG_007,W2,2
TAG_008,W2,2
TAG_009,W2,2
TAG_010,W2,2
TAG_011,W2,2
TAG_014,W2,2
TAG_015,W2,0
TAG_016,W2,2
TAG_017,W2,2
TAG_018,W2,2
TAG_019,W2,2
TAG_020,W2,2
TAG_022,W2,2
TAG_023,W2,2
TAG_024,W2,0
TAG_026,W2,2
TAG_027,W2,2
TAG_028,W2,2
TAG_030,W2,0
TAG_032,W2,2
TAG_033,W2,2
TAG_034,W2,2
TAG_035,W2,2
TAG_036,W2,2
TAG_037,W2,2
TAG_038,W2,0
TAG_040,W2,2
TAG_041,W2,2
TAG_042,W2,2
TAG_044,W2,2
TAG_045,W2,2
TAG_046,W2,0
TAG_047,W2,2
TAG_048,W2,2
TAG_049,W2,2
TAG_050,W2,2
TAG_051,W2,2
TAG_052,W2,2
