tagid,School_Setting,School_Setting_OtherSpec,Specialized_Services,Specialized_Services_OtherSpec,Grades_Best,Grades_Average,Grades_Worst
TAG_001,1,-3,-3,-3,1,1,3
TAG_002,1,-3,-3,-3,1,2,3
TAG_003,1,-3,8,-3,1,2,2
TAG_004,1,-3,-3,-3,1,1,2
TAG_005,1,-3,-3,-3,1,1,3
TAG_006,1,-3,-3,-3,1,2,3
TAG_007,1,-3,-3,-3,1,1,2
TAG_008,1,-3,-3,-3,1,2,5
TAG_009,1,-3,-3,-3,1,1,2
TAG_010,-9,-3,-3,-3,1,2,2
TAG_011,1,-3,-3,-3,1,3,5
TAG_012,1,-3,-3,free lunch,1,3,5
TAG_013,1,-3,-3,-3,1,2,3
TAG_014,1,-3,-3,math support class,1,-9,5
TAG_015,1,-3,8,TAG talented and gifted,-9,-9,-9
TAG_016,1,-3,-3,-3,1,2,5
TAG_017,1,-3,-3,-3,1,1,2
TAG_018,1,-3,-3,-3,1,2,3
TAG_019,1,-3,-3,-3,1,1,2
TAG_020,1,-3,-3,-3,1,1,1
TAG_022,1,-3,-3,-3,1,-9,5
TAG_023,1,-3,-3,-3,1,2,3
TAG_024,1,-3,-3,-3,-9,3,5
TAG_026,1,-3,-3,-3,1,1,1
TAG_027,1,-3,-3,-3,1,1,4
TAG_028,1,-3,4,"after school tutors for homework, ELC's extended learing opportunities for math",2,2,3
TAG_030,1,-3,-3,-3,1,1,2
TAG_032,1,-3,-3,-3,1,1,1
TAG_033,1,-3,-3,-3,1,1,2
TAG_034,1,-3,-3,-3,1,2,3
TAG_035,1,-3,-3,-3,1,2,3
TAG_036,1,-3,-3,-3,1,1,2
TAG_037,1,-3,-3,-3,1,1,1
TAG_038,1,-3,9,special math clan to help get her caught up with rest of peers after moving mid year,-9,-9,-9
TAG_039,1,-3,-3,-3,1,-9,5
TAG_040,1,-3,-3,-3,1,1,1
TAG_041,1,-3,-3,-3,1,1,1
TAG_042,1,-3,-3,-3,1,2,5
TAG_044,1,-3,-3,-3,1,2,3
TAG_045,2,-3,4,math reading tutoring support in the past,1,2,3
TAG_046,2,-3,-3,-3,1,1,3
TAG_047,2,-3,-3,-3,1,1,4
TAG_048,8,Ridgeline Montessori: Charter (4J),-3,-3,1,1,2
TAG_049,1,-3,-3,-3,1,1,2
TAG_050,1,-3,-3,-3,1,1,1
TAG_051,1,-3,-3,-3,1,2,5
TAG_052,1,-3,-3,-3,1,1,2
TAG_053,1,-3,-3,-3,1,1,2
TAG_054,1,-3,-3,-3,-3,-3,-3
TAG_055,1,-3,-3,-3,1,1,1
TAG_056,1,-3,-3,-3,1,1,3
TAG_057,1,-3,-3,-3,1,2,4
TAG_058,1,-3,9,half time home schooled,2,3,3
TAG_059,1,-3,-3,-3,1,2,3
TAG_060,1,-3,-3,-3,2,2,3
TAG_062,1,-3,-3,-3,1,1,-9
TAG_064,1,-3,-3,-3,1,2,2
TAG_065,1,-3,-3,-3,1,1,2
TAG_066,1,-3,-3,-3,1,1,2
TAG_067,1,-3,9,"teacher's assistant, only 6th grader, teaches other kids that need help with spanish",1,1,1
TAG_068,1,-3,9,advanced math,1,1,1
TAG_069,1,-3,-3,-3,1,2,4
TAG_070,1,-3,-3,-3,1,2,3
TAG_071,1,-3,-3,-3,1,1,1
TAG_072,1,-3,-3,-3,1,1,2
TAG_073,1,-3,4,math,1,1,3
TAG_074,1,-3,8,sunshine math,1,2,"3,4"
TAG_075,1,-3,-3,-3,1,1,1
TAG_076,1,-3,-3,-3,1,1,2
TAG_077,1,-3,-3,-3,-9,2,-9
TAG_078,1,-3,-3,-3,-9,-9,-9
TAG_079,1,-3,-3,-3,1,1,3
TAG_080,1,-3,-3,-3,1,2,3
TAG_081,1,-3,-3,-3,1,1,1
TAG_083,1,-3,9,mentor program,1,5,5
TAG_084,1,-3,-3,-3,-9,-9,-9
TAG_085,1,-3,-3,-3,1,1,2
TAG_086,1,-3,-3,-3,-9,-9,-9
TAG_087,1,-3,8,TAG talented and gifted,-9,-9,-9
TAG_088,8,charter school,-3,math tutor in the future,1,2,3
TAG_089,1,-3,-3,-3,-9,-9,-9
TAG_090,8,"Eugene Gakawan, Japanese Immersion school",-3,-3,-9,-9,-9
TAG_091,1,spanish immersion,-3,-3,1,2,4
TAG_093,2,-3,-3,"last year tutored in math, now caught up",-9,-9,-9
TAG_094,1,-3,-3,-3,1,1,1
TAG_095,1,-3,-3,-3,1,1,2
TAG_097,1,-3,-3,-3,1,1,1
TAG_098,1,-3,-3,-3,1,1,1
TAG_099,1,-3,-3,-3,1,2,3
TAG_100,1,-3,-3,-3,2,2,3
TAG_101,1,-3,-3,-3,1,2,3
TAG_102,1,-3,-3,-3,2,3,4
TAG_103,1,-3,-3,-3,1,1,2
TAG_104,1,-3,-3,-3,1,2,2
TAG_105,1,-3,-3,-3,1,1,4
TAG_106,1,-3,-3,-3,1,2,5
TAG_107,1,-3,-3,-3,1,2,3
TAG_108,1,-3,-3,-3,-9,-9,-9
TAG_109,1,-3,-3,-3,1,1,1
TAG_110,1,-3,-3,-3,1,1,1
TAG_111,1,-3,-3,-3,1,1,1
TAG_112,1,-3,-3,-3,1,1,2
TAG_113,1,-3,-3,-3,1,2,3
TAG_114,1,-3,-3,-3,-9,-9,-9
TAG_115,1,-3,-3,-3,1,1,3
TAG_116,1,-3,-3,-3,-3,-3,-3
TAG_117,1,-3,-3,-3,1,-9,-9
TAG_119,1,-3,-3,-3,1,1,2
TAG_120,1,-3,-3,-3,1,2,3
TAG_122,1,-3,-3,-3,1,2,3
