tagid,W1_Income
TAG001,3
TAG002,3
TAG003,3
TAG004,4
TAG005,3
TAG006,3
TAG007,1
TAG008,3
TAG009,5
TAG010,2
TAG011,3
TAG012,3
TAG013,3
TAG014,3
TAG015,4
TAG016,4
TAG017,1
TAG018,3
TAG019,4
TAG020,5
TAG022,2
TAG023,5
TAG026,5
TAG027,4
TAG028,2
TAG030,5
TAG032,2
TAG033,3
TAG034,4
TAG035,3
TAG036,2
TAG037,3
TAG038,1
TAG040,4
TAG041,5
TAG042,2
TAG044,5
TAG045,2
TAG046,2
TAG047,2
TAG048,1
TAG049,5
TAG050,3
TAG051,2
TAG052,4
TAG053,3
TAG054,3
TAG055,5
TAG056,3
TAG057,2
TAG058,1
TAG059,3
TAG060,5
TAG062,3
TAG064,2
TAG065,4
TAG066,5
TAG067,7
TAG068,2
TAG069,1
TAG070,
TAG071,4
TAG073,5
TAG075,7
TAG076,2
TAG078,5
TAG079,2
TAG080,5
TAG084,5
TAG085,7
TAG086,1
TAG088,5
TAG089,7
TAG090,3
TAG091,3
TAG093,2
TAG094,1
TAG098,4
TAG099,4
TAG100,4
TAG101,7
TAG102,2
TAG103,3
TAG104,4
TAG105,4
TAG107,1
TAG109,3
TAG111,2
TAG112,3
TAG113,3
TAG114,1
TAG117,3
TAG119,7
TAG130,1
TAG131,3
TAG132,4
TAG137,1
TAG138,4
TAG140,3
TAG141,5
TAG143,4
TAG144,1
TAG145,5
TAG149,4
TAG152,7
TAG159,5
TAG160,4
TAG164,4
TAG167,5
TAG169,3
TAG174,3
TAG177,2
TAG181,5
TAG192,1
TAG194,5
TAG209,2
TAG210,3
TAG211,2
,
,
,
,
,
,1=14
,2=21
,3=32
,4=21
,5=22
,6=0
,7=117
