"","tagid","CAMM_W3","Grades_W3","SC_W3","wave","age","transition"
"1","TAG001",22,"1",19,"W3",15.30410959,1
"2","TAG002",17,"2",16,"W3",14.80821918,1
"3","TAG003",17,"2",15,"W3",15.4628287125375,2
"4","TAG005",31,"1",16,"W3",14.4293268976698,2
"5","TAG007",21,"1",15,"W3",14.7140393585208,1
"6","TAG008",15,"1",11,"W3",14.9260274,1
"7","TAG009",11,"2",10,"W3",15.0465916446612,2
"8","TAG010",38,"2",13,"W3",14.9625365618847,2
"9","TAG018",31,"4",14,"W3",14.4012414306294,1
"10","TAG019",16,"1",11,"W3",15.6109589,1
"11","TAG020",27,NA,17,"W3",14.77534247,2
"12","TAG026",18,"1",15,"W3",15.17260274,1
"13","TAG027",22,"5",15,"W3",14.6911599361638,2
"14","TAG028",21,"2",11,"W3",15.3096970602407,1
"15","TAG030",40,"1",18,"W3",13.74246575,2
"16","TAG032",14,"1",13,"W3",15.424349159445,1
"17","TAG033",16,"2",14,"W3",15.24657534,1
"18","TAG034",20,"1",13,"W3",14.9369863,1
"19","TAG035",20,"2",13,"W3",15.20547945,1
"20","TAG037",33,"1",18,"W3",14.81369863,1
"21","TAG040",21,"2",16,"W3",14.9071256467485,1
"22","TAG041",28,"1",19,"W3",15.16712329,1
"23","TAG044",22,"2",17,"W3",14.29863014,1
"24","TAG045",38,"2",14,"W3",14.3594235425476,2
"25","TAG046",20,"3",18,"W3",14.6668902460522,2
"26","TAG047",31,"3",14,"W3",14.8061656775278,1
"27","TAG048",8,NA,18,"W3",15.422575823309,1
"28","TAG049",22,"1",9,"W3",14.1993947260805,2
"29","TAG050",12,"1",20,"W3",15.77260274,1
"30","TAG051",33,"1",18,"W3",14.76986301,1
"31","TAG052",20,"1",18,"W3",14.1362656598577,2
"32","TAG053",13,"2",6,"W3",15.68767123,1
"33","TAG054",37,"1",13,"W3",14.520688268019,2
"34","TAG055",22,"2",11,"W3",16.13972603,2
"35","TAG056",27,"1",13,"W3",14.2460692850465,1
"36","TAG057",23,"1",11,"W3",15.16712329,1
"37","TAG058",16,NA,15,"W3",14.5260274,1
"38","TAG059",22,"2",18,"W3",15.3274951552718,1
"39","TAG060",38,"2",18,"W3",13.74794521,2
"40","TAG062",23,"1",17,"W3",14.7342882285776,1
"41","TAG064",33,"2",19,"W3",13.87671233,2
"42","TAG065",23,"1",17,"W3",15.3955078583465,2
"43","TAG066",27,"1",18,"W3",14.2957160500509,1
"44","TAG067",31,"1",19,"W3",15.41369863,1
"45","TAG068",32,NA,13,"W3",14.4420575774153,1
"46","TAG069",23,"2",12,"W3",15.06575342,1
"47","TAG071",38,"1",13,"W3",15.7985635138584,2
"48","TAG075",21,"1",18,"W3",14.30144191434,2
"49","TAG076",31,"2",14,"W3",15.6379395290539,2
"50","TAG078",17,"1",20,"W3",14.6600423351602,1
"51","TAG084",27,"1",15,"W3",15.6935542847993,2
"52","TAG085",15,"2",14,"W3",15.3167490193928,1
"53","TAG086",21,"2",12,"W3",14.6940025310939,2
"54","TAG088",37,"2",15,"W3",14.0973170783461,1
"55","TAG090",17,"1",12,"W3",14.75769366735,2
"56","TAG094",26,"2",20,"W3",14.27123288,2
"57","TAG100",26,"3",20,"W3",13.9384850120641,1
"58","TAG104",12,"2",8,"W3",14.9802900804946,1
"59","TAG119",9,"2",12,"W3",16.0578814250242,2
"60","TAG138",19,"1",14,"W3",15.0381164320755,1
"61","TAG140",21,"1",14,"W3",14.5731068753775,2
"62","TAG149",27,"1",17,"W3",14.4006190056909,NA
"63","TAG159",20,"2",14,"W3",15.3176655550958,1
"64","TAG160",26,"1",19,"W3",14.1260837165074,1
"65","TAG164",21,"1",10,"W3",14.6716200008025,NA
"66","TAG177",21,"2",9,"W3",14.5067642779455,2
"67","TAG181",9,"1",16,"W3",15.4592100045168,2
"68","TAG004",NA,"1",NA,"W3",NA,1
"69","TAG011",NA,"-9",NA,"W3",NA,1
"70","TAG016",16.0663052310371,"1",9.89090713911131,"W3",15.51780822,1
"71","TAG022",26.6884406669508,"3",16.1756841190879,"W3",15.04931507,1
"72","TAG036",NA,"3",NA,"W3",NA,2
"73","TAG038",NA,"2",NA,"W3",NA,2
"74","TAG042",NA,"2",NA,"W3",NA,1
"75","TAG070",NA,"1",NA,"W3",NA,2
"76","TAG089",28.1912366347774,"3",16.1795334552034,"W3",14.57260274,2
"77","TAG093",NA,"2",NA,"W3",NA,2
"78","TAG102",NA,"3",NA,"W3",NA,1
"79","TAG130",NA,"2",NA,"W3",NA,2
"80","TAG169",NA,"3",NA,"W3",NA,2
"81","TAG006",NA,NA,NA,"W3",NA,NA
"82","TAG012",NA,NA,NA,"W3",NA,NA
"83","TAG013",NA,NA,NA,"W3",NA,NA
"84","TAG014",NA,NA,NA,"W3",NA,1
"85","TAG015",NA,NA,NA,"W3",NA,2
"86","TAG017",NA,NA,NA,"W3",NA,2
"87","TAG023",NA,NA,NA,"W3",NA,NA
"88","TAG024",NA,NA,NA,"W3",NA,NA
"89","TAG072",NA,NA,NA,"W3",NA,NA
"90","TAG073",NA,NA,NA,"W3",NA,1
"91","TAG074",NA,NA,NA,"W3",NA,NA
"92","TAG077",NA,NA,NA,"W3",NA,NA
"93","TAG079",NA,NA,NA,"W3",NA,NA
"94","TAG080",NA,NA,NA,"W3",NA,1
"95","TAG081",NA,NA,NA,"W3",NA,NA
"96","TAG083",NA,NA,NA,"W3",NA,NA
"97","TAG087",NA,NA,NA,"W3",NA,NA
"98","TAG091",NA,NA,NA,"W3",NA,2
"99","TAG095",NA,NA,NA,"W3",NA,NA
"100","TAG098",NA,NA,NA,"W3",NA,1
"101","TAG099",NA,NA,NA,"W3",NA,1
"102","TAG101",NA,NA,NA,"W3",NA,NA
"103","TAG103",NA,NA,NA,"W3",NA,NA
"104","TAG105",NA,NA,NA,"W3",NA,1
"105","TAG106",NA,NA,NA,"W3",NA,NA
"106","TAG107",NA,NA,NA,"W3",NA,NA
"107","TAG109",NA,NA,NA,"W3",NA,NA
"108","TAG110",NA,NA,NA,"W3",NA,NA
"109","TAG111",NA,NA,NA,"W3",NA,1
"110","TAG112",NA,NA,NA,"W3",NA,1
"111","TAG113",NA,NA,NA,"W3",NA,1
"112","TAG114",NA,NA,NA,"W3",NA,NA
"113","TAG116",NA,NA,NA,"W3",NA,NA
"114","TAG117",NA,NA,NA,"W3",NA,1
"115","TAG120",NA,NA,NA,"W3",NA,NA
"116","TAG122",NA,NA,NA,"W3",NA,NA
"117","TAG124",NA,NA,NA,"W3",NA,NA
"118","TAG125",NA,NA,NA,"W3",NA,NA
