TAGID,wave,session_date,age
TAG002,C1,4/9/20,16.06557377
TAG003,C1,4/14/20,16.21311475
TAG005,C1,4/13/20,14.26502732
TAG007,C1,4/10/20,16.38282057
TAG008,C1,4/12/20,16.16120219
TAG009,C1,4/15/20,16.09562842
TAG010,C1,4/9/20,15.6010929
TAG015,C1,5/3/20,14.07377049
TAG016,C1,4/12/20,16.56636724
TAG017,C1,4/15/20,14.90607081
TAG019,C1,4/16/20,16.61017292
TAG020,C1,4/14/20,15.88797814
TAG022,C1,4/25/20,16.21857923
TAG024,C1,4/15/20,13.77182424
TAG026,C1,4/15/20,16.43757766
TAG027,C1,4/13/20,16.60745565
TAG030,C1,4/11/20,14.87596377
TAG032,C1,4/9/20,16.29515682
TAG033,C1,4/19/20,16.30056142
TAG034,C1,4/12/20,16.00819672
TAG037,C1,4/12/20,15.84699454
TAG038,C1,4/23/20,13.85395613
TAG040,C1,4/17/20,14.93619283
TAG041,C1,4/16/20,16.08469945
TAG042,C1,4/14/20,16.34169474
TAG044,C1,4/11/20,15.27322404
TAG045,C1,4/13/20,14.89512688
TAG046,C1,4/19/20,14.0136612
TAG047,C1,4/19/20,15.28961749
TAG049,C1,4/13/20,15.11748634
TAG050,C1,4/12/20,16.75266861
TAG051,C1,4/11/20,15.79781421
TAG052,C1,4/15/20,15.03278689
TAG053,C1,4/21/20,16.56629987
TAG054,C1,4/9/20,14.29789655
TAG055,C1,4/23/20,17.11202186
TAG057,C1,4/9/20,16.19398907
TAG058,C1,4/10/20,15.43989071
TAG059,C1,4/10/20,15.63114754
TAG060,C1,4/13/20,14.74444195
TAG062,C1,4/9/20,13.78830751
TAG064,C1,4/10/20,14.75268358
TAG065,C1,4/12/20,14.30061382
TAG066,C1,4/26/20,15.72404372
TAG067,C1,4/12/20,16.44855902
TAG068,C1,4/12/20,14.83212067
TAG070,C1,4/26/20,15.70765027
TAG071,C1,4/9/20,14.94721162
TAG072,C1,4/17/20,14.95263118
TAG073,C1,4/16/20,14.66222771
TAG074,C1,4/14/20,12.73347556
TAG075,C1,4/9/20,16.54173217
TAG077,C1,4/24/20,12.71970207
TAG078,C1,4/20/20,14.59096489
TAG079,C1,4/13/20,15.24043716
TAG084,C1,4/11/20,15.38251366
TAG085,C1,4/10/20,15.91256831
TAG086,C1,4/14/20,15.28961749
TAG087,C1,4/13/20,13.38005839
TAG088,C1,4/10/20,16.03278689
TAG089,C1,4/9/20,15.43169399
TAG090,C1,4/9/20,15.35519126
TAG093,C1,4/12/20,15.73770492
TAG094,C1,4/19/20,15.17486339
TAG095,C1,4/13/20,13.04644809
TAG098,C1,4/14/20,15.1557377
TAG099,C1,4/15/20,15.87704918
TAG100,C1,4/25/20,15.12295082
TAG101,C1,4/15/20,15.0136612
TAG102,C1,4/24/20,15.4726776
TAG104,C1,4/9/20,14.93899244
TAG105,C1,4/24/20,14.75531851
TAG106,C1,4/14/20,12.86772213
TAG107,C1,4/18/20,15.24590164
TAG110,C1,4/14/20,12.82936597
TAG113,C1,4/22/20,15.03825137
TAG116,C1,4/23/20,13.4402575
TAG117,C1,4/25/20,15.04918033
TAG120,C1,4/14/20,14.8540235
TAG122,C1,4/13/20,13.64033236
TAG125,C1,4/22/20,12.99368965
TAG130,C1,4/20/20,15.7431694
TAG131,C1,4/12/20,15.04644809
TAG132,C1,4/25/20,15.3579235
TAG138,C1,4/15/20,14.62113931
TAG140,C1,4/13/20,16.01912568
TAG143,C1,4/24/20,15.82513661
TAG147,C1,4/9/20,12.83488285
TAG149,C1,4/11/20,16.1010929
TAG152,C1,4/14/20,13.77457145
TAG155,C1,4/9/20,14.65954038
TAG159,C1,4/11/20,16.09016393
TAG160,C1,4/10/20,16.00273224
TAG164,C1,4/15/20,16.04371585
TAG167,C1,4/15/20,15.66939891
TAG169,C1,4/22/20,15.72131148
TAG170,C1,4/9/20,13.31433491
TAG173,C1,4/13/20,14.96635976
TAG176,C1,4/22/20,15.05737705
TAG177,C1,4/9/20,13.83488285
TAG179,C1,4/20/20,13.43480051
TAG180,C1,4/22/20,15.81693989
TAG181,C1,4/20/20,16.55260873
TAG186,C1,4/11/20,15.95355191
TAG188,C1,4/11/20,12.64034733
TAG190,C1,4/18/20,14.40467849
