tagid,wave,session_date
TAG001,wave_1_scheduling_arm_1,1/13/16
TAG001,wave_2_scheduling_arm_1,7/22/17
TAG001,wave_3_scheduling_arm_1,1/17/19
TAG001,wave_4_scheduling_arm_1,1/11/21
TAG002,wave_1_scheduling_arm_1,1/8/16
TAG002,wave_2_scheduling_arm_1,7/27/17
TAG002,sos_arm_1,3/7/20
TAG002,wave_3_scheduling_arm_1,1/2/19
TAG002,wave_4_scheduling_arm_1,1/7/21
TAG003,wave_1_scheduling_arm_1,8/15/16
TAG003,wave_2_scheduling_arm_1,3/5/18
TAG003,sos_arm_1,2/3/19
TAG003,wave_3_scheduling_arm_1,8/28/19
TAG004,wave_1_scheduling_arm_1,1/12/16
TAG004,wave_2_scheduling_arm_1,7/12/17
TAG004,wave_3_scheduling_arm_1,1/7/19
TAG005,wave_1_scheduling_arm_1,10/14/16
TAG005,wave_2_scheduling_arm_1,4/16/18
TAG005,sos_arm_1,4/5/20
TAG005,wave_3_scheduling_arm_1,9/30/19
TAG006,wave_1_scheduling_arm_1,6/14/16
TAG007,wave_1_scheduling_arm_1,6/22/16
TAG007,wave_2_scheduling_arm_1,1/16/18
TAG007,sos_arm_1,11/3/18
TAG007,wave_3_scheduling_arm_1,7/24/19
TAG008,wave_1_scheduling_arm_1,1/18/16
TAG008,wave_2_scheduling_arm_1,7/25/17
TAG008,wave_3_scheduling_arm_1,1/12/19
TAG008,wave_4_scheduling_arm_1,1/8/21
TAG009,wave_1_scheduling_arm_1,9/30/16
TAG009,wave_2_scheduling_arm_1,4/27/18
TAG009,sos_arm_1,4/4/20
TAG009,wave_3_scheduling_arm_1,10/16/19
TAG010,wave_1_scheduling_arm_1,7/23/16
TAG010,wave_2_scheduling_arm_1,2/17/18
TAG010,wave_3_scheduling_arm_1,8/10/19
TAG010,wave_4_scheduling_arm_1,5/1/21
TAG011,wave_1_scheduling_arm_1,7/14/16
TAG011,wave_2_scheduling_arm_1,3/9/18
TAG011,wave_3_scheduling_arm_1,9/4/19
TAG011,wave_4_scheduling_arm_1,9/25/21
TAG012,wave_1_scheduling_arm_1,2/25/17
TAG013,wave_1_scheduling_arm_1,2/15/16
TAG014,wave_1_scheduling_arm_1,12/10/16
TAG014,wave_2_scheduling_arm_1,7/9/18
TAG014,wave_3_scheduling_arm_1,12/17/19
TAG015,wave_1_scheduling_arm_1,4/24/16
TAG015,wave_2_scheduling_arm_1,3/29/18
TAG015,wave_3_scheduling_arm_1,11/30/19
TAG016,wave_1_scheduling_arm_1,2/20/16
TAG016,wave_2_scheduling_arm_1,9/21/17
TAG016,wave_3_scheduling_arm_1,3/21/19
TAG016,wave_4_scheduling_arm_1,2/12/21
TAG017,wave_1_scheduling_arm_1,12/3/16
TAG017,wave_2_scheduling_arm_1,7/30/18
TAG017,sos_arm_1,5/19/19
TAG017,wave_3_scheduling_arm_1,2/16/20
TAG018,wave_1_scheduling_arm_1,1/15/16
TAG018,wave_2_scheduling_arm_1,10/18/17
TAG018,wave_3_scheduling_arm_1,7/31/19
TAG019,wave_1_scheduling_arm_1,1/22/16
TAG019,wave_2_scheduling_arm_1,9/11/17
TAG019,sos_arm_1,12/1/18
TAG019,wave_3_scheduling_arm_1,4/12/19
TAG019,wave_4_scheduling_arm_1,1/12/21
TAG020,wave_1_scheduling_arm_1,1/21/16
TAG020,wave_2_scheduling_arm_1,8/22/17
TAG020,sos_arm_1,11/18/18
TAG020,wave_3_scheduling_arm_1,3/1/19
TAG020,wave_4_scheduling_arm_1,1/20/21
TAG022,wave_1_scheduling_arm_1,1/28/16
TAG022,wave_2_scheduling_arm_1,8/22/17
TAG022,wave_3_scheduling_arm_1,2/18/19
TAG022,wave_4_scheduling_arm_1,4/12/21
TAG023,wave_1_scheduling_arm_1,12/14/15
TAG023,wave_2_scheduling_arm_1,10/9/17
TAG024,wave_1_scheduling_arm_1,6/27/17
TAG024,wave_2_scheduling_arm_1,11/8/18
TAG024,sos_arm_1,7/23/19
TAG024,wave_3_scheduling_arm_1,1/27/21
TAG025,wave_1_scheduling_arm_1,1/25/16
TAG026,wave_1_scheduling_arm_1,2/5/16
TAG026,wave_2_scheduling_arm_1,8/1/17
TAG026,wave_3_scheduling_arm_1,1/4/19
TAG026,wave_4_scheduling_arm_1,1/13/21
TAG027,wave_1_scheduling_arm_1,6/27/16
TAG027,wave_2_scheduling_arm_1,1/11/18
TAG027,sos_arm_1,1/20/19
TAG027,wave_3_scheduling_arm_1,7/10/19
TAG028,wave_1_scheduling_arm_1,1/18/16
TAG028,wave_2_scheduling_arm_1,1/23/18
TAG028,wave_3_scheduling_arm_1,8/22/19
TAG029,wave_1_scheduling_arm_1,12/3/16
TAG030,wave_1_scheduling_arm_1,1/29/16
TAG030,wave_2_scheduling_arm_1,7/19/17
TAG030,sos_arm_1,10/6/18
TAG030,wave_3_scheduling_arm_1,2/18/19
TAG030,wave_4_scheduling_arm_1,4/6/21
TAG032,wave_1_scheduling_arm_1,1/23/16
TAG032,wave_2_scheduling_arm_1,1/19/18
TAG032,sos_arm_1,2/10/19
TAG032,wave_3_scheduling_arm_1,8/2/19
TAG032,wave_4_scheduling_arm_1,8/13/21
TAG033,wave_1_scheduling_arm_1,2/6/16
TAG033,wave_2_scheduling_arm_1,8/14/17
TAG033,sos_arm_1,4/11/20
TAG033,wave_3_scheduling_arm_1,3/26/19
TAG033,wave_4_scheduling_arm_1,2/8/21
TAG034,wave_1_scheduling_arm_1,2/26/16
TAG034,wave_2_scheduling_arm_1,9/12/17
TAG034,sos_arm_1,11/10/18
TAG034,wave_3_scheduling_arm_1,3/14/19
TAG034,wave_4_scheduling_arm_1,2/10/21
TAG035,wave_1_scheduling_arm_1,1/29/16
TAG035,wave_2_scheduling_arm_1,8/4/17
TAG035,wave_3_scheduling_arm_1,1/31/19
TAG036,wave_1_scheduling_arm_1,3/23/16
TAG036,wave_2_scheduling_arm_1,1/22/18
TAG036,wave_3_scheduling_arm_1,7/23/19
TAG037,wave_1_scheduling_arm_1,2/5/16
TAG037,wave_2_scheduling_arm_1,9/19/17
TAG037,sos_arm_1,3/22/20
TAG037,wave_3_scheduling_arm_1,3/28/19
TAG037,wave_4_scheduling_arm_1,2/4/21
TAG038,wave_1_scheduling_arm_1,7/26/16
TAG038,wave_2_scheduling_arm_1,3/2/18
TAG038,sos_arm_1,9/30/18
TAG038,wave_3_scheduling_arm_1,8/8/19
TAG039,wave_1_scheduling_arm_1,2/11/16
TAG040,wave_1_scheduling_arm_1,9/14/16
TAG040,wave_2_scheduling_arm_1,3/26/18
TAG040,sos_arm_1,2/16/19
TAG040,wave_3_scheduling_arm_1,9/25/19
TAG041,wave_1_scheduling_arm_1,4/6/16
TAG041,wave_2_scheduling_arm_1,11/13/17
TAG041,sos_arm_1,2/15/20
TAG041,wave_3_scheduling_arm_1,5/13/19
TAG041,wave_4_scheduling_arm_1,6/11/21
TAG042,wave_1_scheduling_arm_1,3/21/16
TAG042,wave_2_scheduling_arm_1,1/22/18
TAG042,wave_3_scheduling_arm_1,7/30/19
TAG042,wave_4_scheduling_arm_1,9/26/21
TAG044,wave_1_scheduling_arm_1,3/12/16
TAG044,wave_2_scheduling_arm_1,10/10/17
TAG044,wave_3_scheduling_arm_1,4/17/19
TAG044,wave_4_scheduling_arm_1,6/24/21
TAG045,wave_1_scheduling_arm_1,2/28/16
TAG045,wave_2_scheduling_arm_1,11/10/17
TAG045,sos_arm_1,2/2/19
TAG045,wave_3_scheduling_arm_1,7/16/19
TAG046,wave_1_scheduling_arm_1,8/31/16
TAG046,wave_2_scheduling_arm_1,3/15/18
TAG046,sos_arm_1,10/14/18
TAG046,wave_3_scheduling_arm_1,9/27/19
TAG046,wave_4_scheduling_arm_1,9/21/21
TAG047,wave_1_scheduling_arm_1,8/31/16
TAG047,wave_2_scheduling_arm_1,3/15/18
TAG047,sos_arm_1,10/14/18
TAG047,wave_3_scheduling_arm_1,9/18/19
TAG047,wave_4_scheduling_arm_1,9/24/21
TAG048,wave_1_scheduling_arm_1,11/12/16
TAG048,wave_2_scheduling_arm_1,6/2/18
TAG048,sos_arm_1,3/9/19
TAG048,wave_3_scheduling_arm_1,11/30/19
TAG049,wave_1_scheduling_arm_1,8/21/16
TAG049,wave_2_scheduling_arm_1,2/22/18
TAG049,wave_3_scheduling_arm_1,8/26/19
TAG049,wave_4_scheduling_arm_1,6/16/21
TAG050,wave_1_scheduling_arm_1,3/18/16
TAG050,wave_2_scheduling_arm_1,10/27/17
TAG050,sos_arm_1,11/11/18
TAG050,wave_3_scheduling_arm_1,4/15/19
TAG050,wave_4_scheduling_arm_1,3/4/21
TAG051,wave_1_scheduling_arm_1,2/24/16
TAG051,wave_2_scheduling_arm_1,9/22/17
TAG051,wave_3_scheduling_arm_1,3/29/19
TAG052,wave_1_scheduling_arm_1,2/27/16
TAG052,wave_2_scheduling_arm_1,10/13/17
TAG052,sos_arm_1,3/29/20
